,0
5,0.4239623448866068
10,0.624775353016688
15,0.6186563970902865
20,0.6170303808301241
25,0.6234488660676081
30,0.5853658536585366
35,0.6237056054771074
40,0.6540864356011981
45,0.6249893025246042
50,0.6397090286692341
55,0.6388532306375696
60,0.6499786050492085
65,0.6517757809157039
70,0.6218228498074455
75,0.6029952931108258
80,0.677107402652974
85,0.6423620025673942
90,0.6593923833975183
95,0.5922122379118528
100,0.632862644415918
105,0.6421052631578947
110,0.6590500641848522
115,0.6562259306803595
120,0.628925973470261
125,0.6287548138639281
130,0.644415917843389
135,0.6676080445014977
140,0.657081728712024
145,0.6542575952075309
150,0.6500641848523748
155,0.6637569533590073
160,0.6919982884039367
165,0.6741121095421481
170,0.6466409927257167
175,0.6678647839109969
180,0.6737697903294824
