,0
5,0.5137614678899083
10,0.6009174311926605
15,0.6055045871559633
20,0.5825688073394495
25,0.591743119266055
30,0.5642201834862385
35,0.6055045871559633
40,0.6284403669724771
45,0.6055045871559633
50,0.6605504587155964
55,0.6238532110091743
60,0.6284403669724771
65,0.6467889908256881
70,0.6376146788990825
75,0.6330275229357798
80,0.6651376146788991
85,0.6100917431192661
90,0.6422018348623854
95,0.6330275229357798
100,0.6192660550458715
105,0.6238532110091743
110,0.6513761467889908
115,0.6284403669724771
120,0.6100917431192661
125,0.6146788990825688
130,0.6192660550458715
135,0.6330275229357798
140,0.6192660550458715
145,0.6192660550458715
150,0.6376146788990825
155,0.6009174311926605
160,0.6513761467889908
165,0.6330275229357798
170,0.6238532110091743
175,0.6055045871559633
180,0.6284403669724771
