,Cmp. 1,Cmp. 2,Cmp. 3,Cmp. 4,Cmp. 5,Cmp. 6,Cmp. 7,Cmp. 8,Cmp. 9,Cmp. 10,Cmp. 11,Cmp. 12,Cmp. 13,Cmp. 14,Cmp. 15,Cmp. 16,Cmp. 17,Cmp. 18,Cmp. 19,Cmp. 20,Cmp. 21,Cmp. 22,Cmp. 23,Cmp. 24,Cmp. 25,Cmp. 26,Cmp. 27,Cmp. 28,Cmp. 29,Cmp. 30,Cmp. 31,Cmp. 32,Cmp. 33,Cmp. 34,Cmp. 35,Cmp. 36,Cmp. 37,Cmp. 38,Cmp. 39,Cmp. 40,Cmp. 41,Cmp. 42,Cmp. 43,Cmp. 44,Cmp. 45,Cmp. 46,Cmp. 47,Cmp. 48,Cmp. 49,Cmp. 50,Cmp. 51,Cmp. 52,Cmp. 53,Cmp. 54,Cmp. 55,Cmp. 56,Cmp. 57,Cmp. 58,Cmp. 59,Cmp. 60,Cmp. 61,Cmp. 62,Cmp. 63,Cmp. 64,Cmp. 65,Cmp. 66,Cmp. 67,Cmp. 68,Cmp. 69,Cmp. 70,Cmp. 71,Cmp. 72,Cmp. 73,Cmp. 74,Cmp. 75,Cmp. 76,Cmp. 77,Cmp. 78,Cmp. 79,Cmp. 80
10,NRIP3,MMP12,TRAV36DV7,CXCL1,BIRC7,NT5E,EPHA1,CDC25A,ANGPTL4,TRGV2,TRAV38-1,TRBV12-3,AC092809.2,LINC02084,CDC20,UBXN10-AS1,TRHDE,GNG11,CD8B,IFIT1,C11orf96,BHLHA15,ZNF683,LINC01857,LINC02446,TNIP3,RBP1,TRBV5-4,NTS,MAL2,FCGBP,MMP9,SCIN,LINC02084,TRBV10-3,LAMB3,AKAP14,SFN,MAL,HES4,CCL15,ADAMDEC1,CCDC74A,CD22,AKAP14,TSPAN8,CXCL2,CNN3,PHLDB1,SCIN,SCGB3A1,FNDC5,FCRL5,AC105446.1,ALDH3A1,MSLN,TNFSF9,SERPINB4,SFN,PIGR,KRT18,FCGBP,SCGB1A1,GEM,CLSPN,LYPD2,EDN1,ADIRF,PPP1R14A,CYTL1,PTCRA,F3,SMIM1,METTL27,PDZK1IP1,RARRES1,SCGB1A1,LAMB1,MSLN,CD24
11,LINC01010,HSPA6,EPHX2,ANGPTL4,COL6A1,SCG5,CCR7,JSRP1,VEGFA,TRAV2,TRAV25,XCL1,MYCL,TRAV6,SH2D1B,TRGV5,AC092691.1,AC092809.2,ZNF683,IFIT2,ZFAND2A,CALCRL,TRBV10-3,MET,TIMD4,TM4SF1,HSPA6,TRAV26-2,PSCA,CCL22,PNOC,HSD11B1,ATP6V0D2,CD8B,TRBV18,AZIN1-AS1,CFAP300,CHAC1,SPRR3,SPINK1,TTC16,KRT17,RSPH1,IL21,CTXN1,CYP2F1,CXCL8,SOX2,NR4A1,LINC01010,PSCA,AOC3,IGF1,CXCL6,MSLN,CLDN4,CDH1,DMKN,MYH14,TFF3,SLPI,CCL17,MSMB,PLD4,DSCC1,AQP5,S100A16,BPIFA1,TSPAN1,LAPTM4B,MAP1A,ITIH5,AKAP14,DMKN,KRT17,BPIFB1,FAM216B,SLC34A2,PDZK1IP1,BAIAP2L1
12,ZMIZ1-AS1,HS3ST2,TRAV38-1,CCL20,GPR150,HLA-DOB,S1PR5,MCM4,SLC34A2,TRDV1,TPM2,TRGV5,COL22A1,CD8B,UBE2C,CXCL13,ALPK3,PLEK2,TRGV9,ACOD1,GEM,RTKN2,TMEM200A,CCL19,EPHA1,FFAR2,SLC28A3,PRSS57,C19orf33,MET,HLA-DOB,LYPD2,S100B,TRAV4,TRAV2,G0S2,MORN5,PLK2,SFN,SDS,GPR141,TRAV38-1,MORN5,AHNAK2,C1orf194,SFTA2,CCL3L1,RARRES1,SNAI1,SCG5,TCTEX1D4,CAMP,MZB1,PLAAT2,CCDC39,LYPD2,NR4A3,MUC5B,CEACAM5,CXCL17,SCGB3A2,HLA-DOB,MUC4,MYCL,TRBV10-3,SERPINB3,LAMB3,ADH1C,CEACAM6,ACSM3,F3,AC124248.1,CKB,PSCA,KLK11,CXCL6,FOLR1,MAL2,FCGBP,SCGB2A1
13,RAI14,LAMP5,IKZF4,CXCL3,LINC01857,DNASE2B,TRAV10,TONSL,SNAI1,TIMD4,TRAV20,TRAV10,PLEK2,TRBV10-3,CCNB2,PDCD1,GPD1,CCL19,TRBV10-3,IFIT3,SNAI1,ALDH1L2,LINC02446,SLC34A2,DBN1,ADAMDEC1,SELENOP,SH2D1B,TFF3,SLC34A2,TRAV36DV7,HES4,GPC4,DBN1,TRBV4-2,NOCT,NTS,C10orf95,ADH1C,CTSK,LINC02084,ANKRD33B,PLAAT2,VWA5A,RSPH9,PIGR,TNFAIP6,CEACAM5,STEAP4,CCL22,ADH1C,ALPK3,CD79A,KLK11,SOX2,DEGS2,GEM,IGFBP5,FAM3D,CP,AGR2,ADGRG1,PRSS23,TNFSF9,CHAF1B,PLK2,ADIRF,DEGS2,PRSS23,KRT17,ZG16B,UBXN10,C22orf15,MUC20,ADIRF,LCN2,ERICH3,SFTPB,BPIFB1,GPR141
14,TMEM158,CD19,CCR6,ZMIZ1-AS1,ADAMDEC1,APOBEC3A,TRABD2A,ZNF367,NOCT,CD8B,TRBV24-1,LINC02446,HSPA6,CD8A,RRM2,CCDC74A,PCSK9,SH3BP4,CD8A,SAMD4A,DNAJB4,TRAV20,TRGC2,VNN1,AC103702.2,MET,SPOCD1,TRAV23DV6,SERPINB4,SFTA2,PTCRA,TNFRSF6B,C1orf54,CD8A,IL2RA,VEGFA,DNAH12,SCGB1A1,SERPINB3,SCIN,CX3CR1,PAWR,CFAP126,CD1A,PIFO,CP,CXCL3,SERPINB3,KCNJ2,ST3GAL6-AS,PDZK1IP1,IQSEC3,KLHL14,ANXA3,CFB,MUC16,AC025580.2,SPATA18,ST6GALNAC1,FCGBP,TSPAN1,CD1E,KRT19,SNX22,TYMS,C19orf33,EPCAM,DNAH9,MT1H,CRNDE,IL1A,PTX3,LGALSL,SPATA18,C19orf33,FCGBP,PFN2,ITIH5,AQP5,AGR3
15,AC011611.3,FJX1,LEF1,CXCL8,GDF15,FOXP3,TRGV2,MCM10,KANK1,CD8A,TRBV5-6,KRT86,SNX22,TRAV8-3,PLK1,MRC2,MGAT3,CYP2S1,PDCD1,NEXN,HES4,TRAV41,TRAV4,TMEM37,TRAV36DV7,S100A14,ANGPTL4,TRAV6,S100A16,CSF2,FCRL6,ADAMDEC1,CCND1,TRGV7,TNFRSF4,AC007032.1,DNAH10,HES1,TSPAN8,BIRC7,TRAV38-1,TRAV36DV7,CFAP300,S100B,C11orf97,LCN2,PTX3,SLPI,F3,DOCK3,SAA2,FABP4,COL9A3,SAA2,SRGAP3-AS2,MUC20,TSPAN6,SCGB1A1,MUC5AC,RARRES1,MT1H,FCRL6,CCNO,PALD1,CIT,KLF5,ERRFI1,CFAP157,CCDC39,CA1,HSD11B1,TRBV10-3,CYTL1,MYH14,CERCAM,CEACAM5,ACOD1,GPD1,RRAD,MYO1B
16,PHLDB1,ACOD1,TRBV5-6,KANK1,DNASE2B,HSD11B1,HIST1H3I,CDCA7,NLRP3,TTC16,PTCRA,TRAV38-1,CLEC10A,ASB2,TNFRSF18,CD40LG,MME,MS4A4E,CD40LG,BATF2,HILPDA,TSHR,TRGV2,ANKRD33B,TRGV2,ASS1,CXCL11,ADGRG1,MSLN,MPO,CERCAM,CYP2F1,CAVIN1,TRAV8-3,IL21,NR4A1,NPHP1,HIST1H4B,BPIFB1,DNASE2B,MRC2,PTCRA,C9orf135,XCL2,FAM183A,MUC5B,TNIP3,AGR2,HAMP,CTSK,GSTA1,ITIH5,KCNN3,SAA1,CXCL6,F3,CDC42EP5,AGER,KLF5,FOLR1,MT1G,PRSS23,ST6GALNAC1,AP1S3,FAM184A,CHAC1,TIMP3,SPAG6,RTKN2,CD24,IL6,DUSP8,ZG16B,KRT7,TIMP3,S100A2,CAV1,STEAP4,MUC5B,PSCA
17,CAVIN1,HSPA1B,TSHZ2,NCS1,RARRES1,LINC02154,TRGV9,UHRF1,TNFAIP6,ZNF683,TSPAN13,KLRC4,P2RY6,TTC16,CDCA3,PLPP1,IQSEC3,P2RY6,LINC02446,ISG15,NR4A1,SPAG4,PPP2R2B,SLC40A1,ITGA1,MT1M,AHNAK2,SPON2,ARL4D,C19orf33,LAIR2,TJP1,SLC7A11,KRTCAP3,TSHZ2,ANKRD33B,C9orf135,CDC42EP5,PI3,ATP6V0D2,MIR503HG,CCR7,AC105446.1,TRBV30,RSPH1,ADH1C,EREG,TJP1,GRASP,RAMP1,CYP2F1,TMEM74B,CNKSR1,FAM229B,FOXJ1,CYP4B1,MUC1,PFN2,MYO1B,AKR1C1,SPRR3,GPR141,EPCAM,AREG,TOP2A,CXCL6,KRT19,CCDC39,SERPINB4,EGFL7,NDRG2,TCF7,CNN3,CCDC33,CFB,MUC5AC,ENKUR,EMP2,CHAC1,ALOX15
18,SERPINE1,NLRP7,MAL,NRIP3,MMP9,TNFRSF9,TTC16,HELLS,SARS-CoV-2,LINC02084,ANKRD55,FCRL6,C1orf54,ZNF683,CENPA,LAG3,GNG11,LTC4S,PLPP1,ANKRD22,TSPYL2,PLEKHH3,FCRL6,CP,LINC02084,DNAJA4,GNG11,LINC01480,SOX2,BIRC7,S100B,SERPINB4,PLEK2,AC013264.1,PTPN13,SNAI1,CFAP126,SCGB3A1,SFTA2,SNAI1,TRAV39,RASD1,CTXN1,NCAM1,C9orf24,CXCL17,TNFSF15,CHST9,TNFRSF9,SDC2,TCTEX1D1,GPD1,PNOC,SCGB1A1,PSCA,GPRC5A,ZG16B,FOLR1,ADIRF,LCN2,FAM3D,CLDN1,TJP1,CCN2,CDT1,KLK11,CDH1,FAM81B,COL6A1,FAM30A,MYL9,TMEM200A,TRBV10-2,C19orf33,FXYD3,CFB,RHOD,MME,RND3,SOX2
19,NCS1,AC004988.1,TBC1D4,LINC01010,HTRA4,TRAV39,EPHX2,ORC1,HAMP,TRBV27,TRBV12-3,KLRC1,MS4A4E,KLRC4,TRAV10,TRBV14,RSPO3,NDRG2,IFNG,AP001610.2,TNFSF9,FOXP3,EOMES,KRT17,ASB2,VEGFA,CCL2,TRBV7-6,KRT8,KRT7,CD19,EBI3,PKIB,RHOD,FBLN7,LRG1,C1orf194,HIST1H1A,IGFBP5,LINC01857,CD40LG,SMPD3,DYNLRB2,MYCL,AC007906.2,SELENBP1,DNAAF1,ECM1,AREG,PDLIM4,AQP5,LINC02154,CAV1,COL6A1,C11orf88,ADIRF,SNAI1,SPAG6,TACSTD2,FAM3D,ECM1,MYBL1,MUC20,PDGFB,TRAV1-1,FAM3B,UCHL1,MUC20,PDLIM4,ID1,SCGB2A1,SERPINB2,IRX3,SFN,PLAAT2,LYPD2,NME5,SFN,LYPD2,CCL17
20,CCL7,IGF2BP3,LTA,CCL7,VNN1,GPC4,HIST1H3C,POLE2,MEFV,LINC02446,FBLN7,DBN1,TRAV38-1,TRBV4-2,CDC45,C11orf96,CPE,CCR6,TMEM200A,HES4,IER5,FGFBP2,AC103702.2,ADH1C,TRBV7-6,HAMP,FOLR2,FOXP3,RAB25,MMP9,TTC38,U62317.1,PDLIM4,MRC2,RTKN2,TNFSF9,DYNLRB2,S100A16,TFF3,PADI2,ADGRG1,C1orf54,SCGB3A1,KIR2DL4,CAPSL,MAL,CCL3,MT1H,SLC28A3,DNASE2B,GSTA2,WWTR1,IFNG-AS1,RARRES1,AC007906.2,ALOX15,GPRC5A,CAV1,GSTA1,IGFBP5,C11orf96,PRSS57,CXCL17,CCND1,MCM4,HES1,CAV1,MMP10,MYO1D,STON2,ANXA3,SLC19A3,HS3ST2,CCL15,CCDC39,TFF3,SFTPA2,SFTA2,SERPINB3,CXCL6
21,DNAJB5,RTKN2,FBLN7,RAI14,HSD11B1,XCL2,FCRL6,KLHL14,AREG,UBXN10-AS1,CD40LG,ZNF683,TRAV36DV7,LINC02446,LINC01480,AKAP5,FABP4,HSPA6,ABCA3,TNFSF10,OLIG1,MYCL,CD244,FCGBP,TTC16,CEMIP,MUC12,CXCR2,SELENBP1,ANXA3,TRDV1,SPP1,HSD11B1,EPHA1,TRAV6,AC025580.2,MUC12,CYGB,MYL9,IDO1,PLPP1,IRF8,C9orf116,CEACAM3,ROPN1L,WFDC2,CCL4L2,MT1G,APOBEC3A,MYL9,SAA1,DNASE2B,ALDH1L2,MSMB,ALOX15,BPIFB1,RAB25,CCDC113,ASS1,GSTA1,PPP1R14A,LAIR2,CP,LINC01480,RAD51,CDC42EP5,AKR1C1,PIH1D2,AC007906.2,NFE2,TCF7,LTB,LRRC6,SLC44A4,MDK,TM4SF1,EFCAB10,AOC3,COL6A1,GSTA2
22,MMP19,TRAV39,LINC00891,TM4SF19,LINC01010,GEM,CEP70,PSMC3IP,PFKFB3,TRGC2,TRAV38-2DV,AC103702.2,CCND1,DBN1,LAPTM4B,UBXN10,HES2,CLIC2,DBN1,DEFB1,MIR503HG,CLDN1,DTHD1,PTGIR,EOMES,KRT17,ZBTB7C,CX3CR1,PTPRF,CALCRL,CSF2,RAI14,HTRA4,SMPD3,TRBV7-6,DNAAF1,CTXN1,HIST1H4D,CCNO,AL021978.1,TRAV2,EBI3,MORN2,DEFB1,FAM229B,ZG16B,G0S2,KIAA1324,COL6A1,A2M,MUC5AC,SERPING1,AC104699.1,CDC42EP5,TCTEX1D4,FAM3D,RAB27B,ERICH3,MS4A8,MSLN,SCGB2A1,PLEKHG3,LYPD2,P2RY6,ZNF367,RND3,CERCAM,RSPH4A,CTXN1,AZU1,CCR7,TNFAIP6,DRC1,DSP,TSPAN1,PPP1R32,C10orf95,CDH1,MET,CCDC39
23,TM4SF19,CCL7,LAPTM4B,SERPINE1,GPC4,TRAV38-1,BEX2,JCHAIN,PDZK1IP1,EPHA1,TRAV23DV6,LINC02084,KCTD14,TIMD4,BIRC5,TRAV25,AF127936.2,ALPK3,SLC27A2,GBP1,HSPB1,CNKSR1,ARL4D,AL021978.1,TRGC2,PFKFB3,PAQR5,BSPRY,F3,SELENOP,TRAV38-1,CFB,PDGFB,TRGV2,CCR4,PROK2,NME5,S100A14,CCN2,CXCL9,UBXN10-AS1,IDO1,FAM183A,XCL1,NME5,SOX2,AZIN1-AS1,FAM3D,NRG1,GEM,KLK11,BIRC7,CPNE5,ZG16B,CCDC33,KIAA1324,CEACAM5,ALDH3A1,S100A14,AGR2,TPPP3,IL21,AQP5,TACSTD2,PCLAF,SCGB3A1,PAWR,C11orf88,ANGPTL4,ZG16B,MT1E,EPHA1,BACE2,ADIRF,PFN2,PRSS22,DRC1,FOLR1,MUC5AC,CCN2
24,ITGA7,HAMP,CCR7,FJX1,OTOA,S100B,HIST1H3F,IGF1,AL133330.1,ARL4D,CD28,KIR2DL4,SERPINB2,FCRL6,TRDV1,TRAV1-1,HP,CYTL1,MRC2,FFAR2,PLK2,FCER1A,ITGA1,HAMP,TRAV39,HSPA1B,S100A16,TSHR,ADIRF,HPGDS,IL21,EHF,SDS,HIST1H1A,TNFRSF18,HES1,PLAAT2,RASD1,ARL4D,LGALS2,KIAA1324,FKBP1B,MSMB,HBB,PFN2,TCEA3,NLRP3,PRSS23,CCL4L2,FNBP1L,S100A16,BCAR1,FAM30A,CHAC1,WDR38,CHST9,NR4A1,FAM216B,CCND1,PRSS23,MAL,NCR3,CNN3,A2M,FANCI,AHNAK2,DSP,C6orf118,RBP1,RAMP1,TMEM37,DNAH10,CHIT1,TSPAN1,SHISA4,TMEM190,MIR503HG,MGAT3,ADH1C,IGF1
25,COL22A1,DNAJA4,TNFRSF18,PHLDB1,SLC28A3,TRAV36DV7,PTGDR,DERL3,IL10,ASB2,TRBV18,CD244,TCEA3,RHOD,PBK,BSPRY,AC092809.2,PLD4,LAG3,CEMIP,DYRK3,S1PR5,BCAS4,FOLR2,BCAS4,NAMPT,CXCL2,KIR2DL4,CYP4B1,IRX3,PLEKHG3,KRT17,CTSK,TTC16,TRBV6-1,PTGS2,TEKT1,TM4SF1,FOLR1,AREG,PDCD1,PRSS57,C20orf85,LILRA4,SNTN,RAB27B,AC025580.2,PIGR,CTSK,C1orf54,RARRES1,S100A13,CCR10,CYP2F1,TIMP3,CCNO,SFTA2,ACOD1,KRT8,CNN3,PSCA,CXCL11,CDC42EP5,AXL,STMN1,F3,BSPRY,GPRC5A,NDRG2,LNCAROD,TRAV39,DYNC2H1,AL357093.2,ALOX15,RBP1,EFCAB1,ENAH,AKR1C2,CYP2F1,CCNO
