,Cmp. 1,Cmp. 2,Cmp. 3,Cmp. 4,Cmp. 5,Cmp. 6,Cmp. 7,Cmp. 8,Cmp. 9,Cmp. 10,Cmp. 11,Cmp. 12,Cmp. 13,Cmp. 14,Cmp. 15,Cmp. 16,Cmp. 17,Cmp. 18,Cmp. 19,Cmp. 20,Cmp. 21,Cmp. 22,Cmp. 23,Cmp. 24,Cmp. 25,Cmp. 26,Cmp. 27,Cmp. 28,Cmp. 29,Cmp. 30,Cmp. 31,Cmp. 32,Cmp. 33,Cmp. 34,Cmp. 35,Cmp. 36,Cmp. 37,Cmp. 38,Cmp. 39,Cmp. 40,Cmp. 41,Cmp. 42,Cmp. 43,Cmp. 44,Cmp. 45,Cmp. 46,Cmp. 47,Cmp. 48,Cmp. 49,Cmp. 50,Cmp. 51,Cmp. 52,Cmp. 53,Cmp. 54,Cmp. 55,Cmp. 56,Cmp. 57,Cmp. 58,Cmp. 59,Cmp. 60,Cmp. 61,Cmp. 62,Cmp. 63,Cmp. 64,Cmp. 65,Cmp. 66,Cmp. 67,Cmp. 68,Cmp. 69,Cmp. 70,Cmp. 71,Cmp. 72,Cmp. 73,Cmp. 74,Cmp. 75,Cmp. 76,Cmp. 77,Cmp. 78,Cmp. 79,Cmp. 80
0,NT5E,CCL22,FOXP3,CEMIP,CTSK,CXCL11,TRAV38-1,E2F1,C11orf96,TRAV10,PTGDS,TRDV1,CCL17,TRAV1-1,FOXP3,TRBV10-3,ITIH5,CCL17,TRAV24,CXCL11,HSPA6,FCGBP,TRBV14,MMP7,TRAV30,MMP1,PPBP,CXCL13,S100A2,CRABP2,PTGDS,MT1M,MMP12,TRBV5-5,TRBV5-6,MMP10,SCGB2A1,PPP1R32,NTS,PPBP,TRBV10-2,SNX22,AL357093.2,CPA3,C1orf189,SERPINB4,IL6,TSPAN8,ACOD1,MMP7,MUC5B,S100A1,JSRP1,AL357093.2,AGER,CYP2F1,SPRR3,ADIRF,SCGB1A1,SCGB1A1,SFTPC,PTGDS,CXCL6,CCL22,FAM111B,PSCA,AGER,SCGB3A1,MSLN,PRSS57,MS4A1,CCNO,HBG2,CLDN4,AGER,MUC5B,ADIRF,BIRC7,FAM3D,COL6A1
1,TNFSF15,TRBV30,RTKN2,TNFSF15,CHIT1,CXCL10,TRBV5-6,GINS2,PTX3,TRBV30,TRDV1,TRAV36DV7,CCL19,TRBV12-3,RTKN2,TRAV38-1,LAMB1,PPP1R14A,TRBV30,CCL8,HSPA1B,TRAV38-1,TRAV26-2,TIMP3,TRBV12-4,MUCL1,CXCL5,TRBV7-3,ADH1C,PRSS57,SPON2,MT1H,MMP9,TRAV8-1,TRBV30,MUCL1,AL357093.2,GSTA2,ADIRF,TNFSF15,TRAV38-2DV,LILRA4,OMG,ELANE,AL357093.2,RARRES1,C11orf96,MUC5B,MMP10,CHI3L1,CEACAM5,FABP3,SPAG4,MUC12,SFTPB,ADH1C,ANKRD33B,S100A14,TFF3,SCGB3A1,MSLN,FGFBP2,CYP2F1,CALCRL,UHRF1,ALOX15,SFTPC,LYPD2,AGER,COL6A1,HIST1H1A,C11orf96,NPW,CFAP157,SFTPB,BPIFA1,MYL9,TIMP3,ALDH3A1,CALCRL
2,SCG5,CCL17,IL2RA,NT5E,HS3ST2,CHIT1,CSF2,CCNE2,ACOD1,TRBV24-1,LILRA4,TRGV2,FCER1A,TRBV6-1,CXCL13,TRAV10,LSAMP,CD1C,TRBV4-2,CXCL10,DNAJA4,NLRP7,TRGV7,ADAMDEC1,TRAV26-2,IL6,NT5E,KLRF1,AQP5,CTSK,FGFBP2,MT1G,ADAMDEC1,TRAV16,TRBV24-1,ACOD1,OMG,SAA1,S100A2,CHI3L1,TRAV25,FSCN1,C22orf15,HBG2,CFAP126,AGR2,IL1A,CXCL6,C11orf96,MMP9,OMG,NPW,JCHAIN,C22orf15,MYL9,KRT17,SLC34A2,MAL,S100A2,SLPI,SFTPB,S1PR5,BPIFA1,RAMP1,CDCA7,AL357093.2,KRT7,SERPINB3,MYL9,NPW,SPIB,FOXJ1,SELENBP1,ALDH3A1,MYL9,SERPINB4,ALDH3A1,KRT7,LCN2,BIRC7
3,SPINK1,CD1A,TRBV30,SERPINB2,KCNJ5,CHI3L1,TRBV30,CHAF1B,CEMIP,TRAV8-1,TRAV36DV7,TRDC,CD1C,TRAV2,TNFRSF9,TRAV8-1,LINC02154,CD1E,TRBV12-3,HESX1,BAG3,S100B,TRAV2,HS3ST2,TRBV24-1,ACOD1,SERPINB2,FAM174B,KRT19,CHI3L1,SLC1A7,MT1X,COL6A1,TRAV25,CXCL13,PTX3,C22orf15,C1orf189,KLK11,SERPINB2,TRAV36DV7,CCL22,SCGB2A1,TPSB2,OMG,FAM3D,PTGS2,SCGB3A1,PTX3,GPC4,SCGB1A1,HOXB6,AC007569.1,PPP1R32,FOLR1,CEACAM5,S100A14,S100A16,CYP2F1,MUC5B,NAPSA,SPON2,TSPAN8,PKIB,HIST1H1A,CYP2F1,MYL9,NTS,KLK11,CALCRL,LILRA4,MS4A1,PRSS57,CEACAM6,CEACAM6,SCGB3A1,AGER,LINC02432,SCGB3A1,IRX3
4,ANGPTL4,CD1E,CCR4,SCG5,CHI3L1,COL22A1,RTKN2,MCM2,TNIP3,TRAV4,SPIB,KLRC2,CLDN1,TRGV7,IL2RA,TRAV26-2,SLC19A3,UTF1,TRBV6-1,IDO1,HSPA1A,TRBV5-6,KLRC4,KCNJ5,TRAV41,SNAI1,CXCL1,ANKRD55,ALDH3A1,HBG2,CX3CR1,MT1E,FCGBP,TRAV24,TRAV24,PPBP,RSPH9,SAA2,SERPINB4,CEMIP,TRAV26-2,MAP1A,C1orf189,TIMP3,DYNLRB2,SLC34A2,ACOD1,ADIRF,PPBP,COL22A1,CCN2,AKR1C2,AC012236.1,CCN2,NAPSA,CXCL6,MAL,SFTA2,C19orf33,CYP2F1,FOLR1,CX3CR1,SERPINB4,CD1C,MS4A1,BPIFA1,ANXA3,SERPINB4,TAGLN,MMP2,C11orf96,IL6,FCER1A,SELENOP,NAPSA,PDZK1IP1,SPATA18,CEACAM6,OMG,TM4SF1
5,CEMIP,MPO,TNFRSF9,CXCL5,ATP6V0D2,IDO1,TCF7,CCNE1,DNAAF1,TRBV12-3,PLD4,TRGC2,S100B,TRAV8-1,TNFRSF4,TRAV23DV6,LINC01645,PKIB,IL21,KCTD14,DNAJB1,TRAV36DV7,LINC02084,MMP9,KLRC4,G0S2,CCL7,TRAV2,KLK11,MMP7,CXCR2,MT1F,LNCAROD,TRBV7-3,ANKRD55,TNIP3,ABCA13,C22orf15,SCGB1A1,MET,TRAV24,VTN,NTS,PRTN3,C20orf85,SERPINB3,SERPINB2,EHF,NLRP3,SPP1,FCGBP,CCL15,LINC02362,METTL27,CYP4B1,NTS,C11orf96,MT1H,PSCA,BPIFB1,KRT8,KLRF1,BPIFB1,PADI2,ASF1B,MSLN,SFN,ASS1,CAV1,IRX3,TPM2,PLK2,CAVIN1,CLDN3,FOLR1,TNFRSF6B,DMKN,TPSB2,ZG16B,MPO
6,GEM,KLHL14,TNFRSF4,SPINK1,LINC00520,TNFSF15,TRAV20,CDC45,EREG,TRBV10-3,CSF2,TRGV9,PALD1,TRAV4,FANK1,TRAV16,KCNAB1,CLDN1,TRBV5-4,RSAD2,RRAD,CCL17,TTC16,SELENOP,CD8B,AC025580.2,SCG5,TRBV24-1,SFN,MMP12,S1PR5,MT2A,CHI3L1,TRAV1-1,FOXP3,EREG,AC007906.2,WDR38,ECM1,CHIT1,FGFBP2,TSPAN13,RSPH9,SCIN,C9orf116,AQP5,CXCL1,ADH1C,HES1,TM4SF19,LYPD2,HES2,BHLHA15,CCDC74A,KRT17,SCGB1A1,CEACAM6,TSPAN8,S100A16,TSPAN8,EPCAM,SLC1A7,NTS,CCL8,RMI2,CYP4B1,MYO1B,ALOX15,CERCAM,SELENOP,PLD4,IL1A,STON2,ACOD1,MSLN,KRT17,TAGLN,SLC46A2,CDC42EP5,MMP2
7,MET,C11orf96,FANK1,MET,MFAP5,CTSK,MYBL1,CDC6,TNFRSF6B,TRAV6,MAP1A,XCL2,NDRG2,TRDV1,TRBV10-3,IL21,AOC3,PALD1,TIMD4,CXCL9,SERPINH1,HIST1H3J,CD8A,CLDN1,CD8A,PTGS2,CXCL3,S1PR5,S100A14,BACE2,GPR141,SPRR3,GEM,TRAV38-1,TRBV5-4,AREG,C1orf189,RHOD,SLPI,MMP1,TRAV8-1,SELENOP,FAM229B,HLA-DOB,MORN5,CDC42EP5,CCL20,SERPINB4,FFAR2,CHIT1,SERPINB3,LAMB1,PKHD1L1,NTS,TAGLN,TSPAN8,PDZK1IP1,MT1G,MSLN,WFDC2,CXCL17,CD1A,CEACAM5,GPC4,NEIL3,SCGB1A1,TM4SF1,ID1,FOLR1,TM4SF1,BANK1,BEX2,CNKSR1,MUC4,SFTA2,SAA1,MUC5AC,HBG2,ASS1,ALDH3A1
8,CXCL5,CCL19,FAM184A,GEM,SELENOP,SPINK1,LEF1,DTL,MET,TRBV5-6,LAMP5,IKZF2,UTF1,TRBV24-1,TRAV24,TRAV24,TMEM74B,VTN,ASB2,IL27,HSPH1,KCNN3,TIMD4,TM4SF1,TRGV5,AC007032.1,SLAMF9,TRBV12-3,LYPD2,ADAMDEC1,PRSS23,RND3,A2M,TRAV2,TRAV41,NLRP3,RSPH1,MSMB,S100A14,LINC01010,S1PR5,CADM1,AC007906.2,FCGBP,C5orf49,CEACAM5,IL1B,BPIFA1,DNAAF1,CCND1,TSPAN8,RBP4,DERL3,SCGB2A1,KLK11,TM4SF1,KRT7,RHOD,KRT19,MSMB,SFTPA1,CXCR2,CEACAM6,CD1E,RAD54L,KRT19,TAGLN,S100A2,TIMP3,BIRC7,TRBV10-3,PTGS2,TIMP3,MAL2,CYP4B1,SAA2,CCDC113,MSLN,NTS,HPGDS
9,SLC7A11,CCL8,IKZF2,SLC7A11,SCIN,LINC01010,LINC02084,FAM111B,AC025580.2,TRBV4-2,IL21,TNFRSF9,HLA-DOB,TRGV2,IL21,TIMD4,FNDC5,CLEC10A,MIR503HG,APOBEC3A,ANKRD33B,SDC1,CD8B,BIRC7,ZNF683,F3,FCGBP,FGFBP2,SERPINB3,TM4SF1,ADGRG1,CXCL9,SPP1,TIMD4,TRBV12-3,FFAR2,FAM229B,KLK11,MSMB,HS3ST2,FCRL6,MS4A1,MUC12,LINC00520,C9orf135,SPRR3,F3,IGFBP5,NR4A3,HSD11B1,ALDH3A1,CYGB,SDC1,RSPH9,CERCAM,PSCA,S100A16,MYL9,RAB25,KLK11,CAVIN1,S100B,SERPINB3,SLC7A11,BRIP1,NTS,CAVIN1,PI3,DPYSL3,MPO,CDCA7,NEIL1,GNG11,IL6,TAGLN,PI3,SPAG6,GPRC5A,PLK2,HOXB6
